Day,Month,Year,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
1,2,2012,Charter,Arrival,Domestic,16
1,2,2012,Charter,Arrival,International,6
1,2,2012,Scheduled,Departure,Domestic,17638
1,3,2012,Scheduled,Departure,Domestic,19615
1,3,2012,Scheduled,Departure,International,3788
1,3,2012,Charter,Departure,International,3
1,3,2012,Scheduled,Arrival,International,3803
1,3,2012,Scheduled,Arrival,Domestic,19607
1,3,2012,Charter,Arrival,International,2
1,3,2012,Charter,Departure,Domestic,28
1,3,2012,Charter,Arrival,Domestic,28
1,4,2012,Charter,Departure,Domestic,30
1,4,2012,Scheduled,Arrival,Domestic,18846
1,4,2012,Scheduled,Arrival,International,3715
1,4,2012,Scheduled,Departure,International,3715
1,4,2012,Charter,Arrival,International,10
1,4,2012,Charter,Departure,International,3
1,4,2012,Scheduled,Departure,Domestic,18837
1,4,2012,Charter,Arrival,Domestic,24
1,5,2012,Charter,Arrival,International,3
1,5,2012,Scheduled,Departure,International,3763
1,5,2012,Charter,Departure,International,3
1,5,2012,Charter,Arrival,Domestic,25
1,5,2012,Scheduled,Arrival,International,3766
1,5,2012,Scheduled,Departure,Domestic,19426
1,5,2012,Charter,Departure,Domestic,25
1,5,2012,Scheduled,Arrival,Domestic,19424
1,6,2012,Charter,Departure,Domestic,19
1,6,2012,Charter,Departure,International,8
1,6,2012,Scheduled,Departure,Domestic,19993
1,6,2012,Scheduled,Departure,International,3786
1,6,2012,Charter,Arrival,Domestic,17
1,6,2012,Scheduled,Arrival,International,3785
1,6,2012,Scheduled,Arrival,Domestic,20003
1,6,2012,Charter,Arrival,International,4
1,7,2012,Scheduled,Arrival,Domestic,21109
